#obshistid,fieldid,filter
88533588,2762,r
88533589,2770,r
88533591,2886,r
88533623,2656,r
88544861,2762,i
88544863,2770,i
88544866,2656,i
88544919,2886,i
88544931,2426,i
88544933,2536,i
88544935,2544,i
88544963,2426,g
88544965,2536,g
88545025,2762,i
88545027,2770,i
88545031,2656,i
88545033,2886,i
88545064,2426,i
88545066,2536,i
88545068,2544,i
88545070,2656,i
88545072,2762,i
88545100,2426,g
88545101,2536,g
88545246,2656,i
88545247,2762,i
88559463,2426,r
88559465,2536,r
88559469,2762,r
88559470,2656,r
88559472,2544,r
88559579,2426,r
88559581,2536,r
88559585,2762,r
88559587,2656,r
88559589,2544,r
88559606,2762,z
88559607,2886,z
88572280,2886,g
88572282,2770,g
88572404,2886,g
88572405,2770,g
88579479,2886,z
88605397,2762,y
88605398,2886,y
88623610,2886,i
88623773,2886,i
88623804,2762,z
88623806,2886,z
88625721,2886,r
88625722,2770,r
88625744,2426,r
88625768,2770,r
88625770,2762,r
88625772,2656,r
88625828,2426,r
88625873,2770,r
88625874,2762,r
88625875,2656,r
88626437,2886,r
88626439,2770,r
88629417,2886,z
88629474,2886,z
88629482,2762,z
88629483,2656,z
88629485,2544,z
88646884,2886,i
88646885,2770,i
88646895,2536,z
88646905,2886,z
88646908,2762,z
88646910,2656,z
88646916,2770,z
88646944,2886,i
88646953,2770,i
88646954,2536,z
88646958,2886,z
88646960,2762,z
88646961,2656,z
88646972,2770,z
88646994,2544,z
88646998,2426,z
88647019,2544,i
88647053,2544,z
88647057,2426,z
88647120,2544,i
88647215,2426,i
88647217,2536,i
88647222,2656,i
88647224,2544,i
88647318,2426,i
88647319,2536,i
88647321,2656,i
88647322,2544,i
88660306,2426,y
88660307,2544,y
88660308,2536,y
88660368,2426,y
88660369,2544,y
88673258,2536,y
88673260,2426,y
88673297,2536,z
88673299,2426,z
88673403,2762,z
88673405,2656,z
88673409,2770,z
88673432,2536,z
88673434,2426,z
88673522,2536,z
88673542,2762,z
88673547,2656,z
88673551,2770,z
88673553,2886,z
88673588,2544,z
88673590,2656,z
88673594,2770,z
88673618,2426,z
88673626,2536,z
88673630,2886,z
88673685,2544,z
88673687,2536,z
88673708,2656,z
88673710,2770,z
88673729,2426,z
88673816,2536,z
88674530,2544,z
88674531,2426,z
88674534,2536,z
88685922,2536,i
88686041,2536,i
88686165,2762,i
88686173,2886,i
88686204,2426,i
88686205,2536,i
88686265,2762,i
88686290,2886,i
88686291,2536,i
88686293,2426,i
88687053,2770,i
88687061,2656,i
88687065,2536,i
88689192,2426,r
88689194,2536,r
88689323,2426,r
88689327,2536,r
88689370,2886,r
88689378,2762,r
88689380,2770,r
88689404,2656,r
88689412,2536,r
88689414,2544,r
88689461,2886,r
88689468,2762,r
88689479,2770,r
88689486,2656,r
88689496,2536,r
88689519,2544,r
88689553,2536,r
88689555,2426,r
88689675,2426,r
88689693,2536,r
88691368,2886,r
88691372,2770,r
88691374,2656,r
88691376,2762,r
88691517,2886,r
88691519,2770,r
88691520,2656,r
88691521,2762,r
88691726,2886,r
88691754,2762,r
88691756,2770,r
88691821,2886,r
88691823,2770,r
88691877,2762,r
88694674,2426,i
88694709,2656,i
88694711,2536,i
88694775,2426,i
88694781,2656,i
88694783,2536,i
88694785,2544,i
88694801,2426,i
88694805,2536,i
88699868,2536,r
88699992,2536,r
88700002,2762,r
88700005,2886,r
88700046,2536,r
88700112,2762,r
88700113,2886,r
88700118,2426,r
88700120,2544,r
88700142,2536,r
88700277,2426,r
88700278,2544,r
88702905,2536,r
88702907,2656,r
88702909,2770,r
88702910,2886,r
88702936,2762,r
88702996,2536,r
88702998,2544,r
88703015,2656,r
88703017,2770,r
88703019,2886,r
88703049,2762,r
88703052,2656,r
88703054,2770,r
88703056,2886,r
88703060,2536,r
88703061,2426,r
88703121,2544,r
88703203,2656,r
88703205,2770,r
88703207,2886,r
88703209,2536,r
88703213,2426,r
88713579,2536,y
88713585,2426,y
88713591,2544,y
88713592,2656,y
88713593,2762,y
88713607,2544,y
88713608,2656,y
88713609,2762,y
88723845,2762,y
88723848,2656,y
88723850,2544,y
88723861,2426,y
88723866,2536,y
88723870,2656,y
88723872,2762,y
88725253,2426,g
88725255,2544,g
88725257,2536,g
88725259,2656,g
88725294,2886,g
88725297,2770,g
88725424,2426,g
88725427,2544,g
88725429,2536,g
88725432,2656,g
88725438,2770,g
88728077,2426,z
88728239,2426,z
88728262,2426,z
88728265,2544,z
88728268,2536,z
88728271,2656,z
88728336,2426,z
88730518,2886,y
88730520,2770,y
88740480,2536,i
88740483,2426,i
88740576,2536,i
88740577,2426,i
88747507,2886,i
88747522,2770,i
88747554,2886,i
88747566,2770,i
88747627,2886,i
88747628,2770,i
88747751,2770,i
88747774,2886,i
88753798,2770,r
88767415,2886,g
88767537,2886,g
88767578,2886,g
88767580,2762,g
88767581,2770,g
88767614,2656,g
88767627,2536,g
88767645,2544,g
88767651,2426,g
88775421,2426,g
88775447,2762,i
88775449,2770,i
88775454,2656,i
88775456,2536,i
88775458,2544,i
88775493,2886,i
88775548,2536,g
88775552,2656,g
88775554,2770,g
88775577,2426,g
88775585,2762,i
88775587,2770,i
88775591,2656,i
88775593,2536,i
88775616,2544,i
88778600,2426,g
88778602,2544,g
88778604,2656,g
88788902,2886,z
88788905,2770,z
88788907,2656,z
88788918,2762,z
88788924,2536,z
88788926,2544,z
88789006,2886,z
88789022,2770,z
88789026,2656,z
88789028,2762,z
88789034,2536,z
88789036,2544,z
88808276,2762,i
88808278,2770,i
88808282,2656,i
88808284,2544,i
88808377,2426,r
88808393,2762,i
88808394,2770,i
88808396,2656,i
88808397,2544,i
88808439,2426,r
88808495,2770,r
88808497,2886,r
88808504,2762,r
88808506,2656,r
88808508,2544,r
88808531,2426,i
88808535,2544,i
88811584,2536,i
88811614,2426,i
88811687,2536,i
88811688,2544,i
88811791,2426,i
88813785,2886,g
88813789,2770,g
88813790,2762,g
88813835,2656,g
88813855,2886,g
88813859,2770,g
88813861,2762,g
88813884,2762,g
88813893,2536,g
88813895,2544,g
88813908,2656,g
88813910,2770,g
88813914,2886,g
88814022,2544,g
88816093,2426,i
88816097,2544,i
88816100,2656,i
88816135,2886,i
88816146,2536,i
88816148,2762,i
88816150,2770,i
88816174,2544,i
88816241,2426,i
88816242,2656,i
88816244,2544,i
88816271,2536,i
88816272,2762,i
88816273,2770,i
88816275,2656,i
88816362,2544,i
88818037,2762,i
88818039,2770,i
88818043,2656,i
88818047,2536,i
88818075,2544,i
88818089,2886,i
88818168,2762,i
88818169,2770,i
88818171,2656,i
88818173,2536,i
88818174,2544,i
88818187,2886,i
88824184,2426,i
88824290,2426,i
88826529,2426,g
88826531,2544,g
88826549,2770,g
88826551,2762,g
88826553,2656,g
88826600,2426,g
88826602,2544,g
88826641,2770,g
88826642,2656,g
88832777,2770,r
88832784,2886,r
88832799,2762,r
88832801,2656,r
88832821,2544,r
88832824,2536,r
88832833,2426,r
88832898,2770,r
88832920,2886,r
88832931,2762,r
88832932,2656,r
88832933,2544,r
88832934,2536,r
88832936,2426,r
88832968,2770,r
88832970,2762,r
88833002,2536,r
88833004,2426,r
88833147,2770,r
88833149,2762,r
88833169,2536,r
88833171,2426,r
88835282,2762,r
88835283,2886,r
88835328,2770,r
88835330,2656,r
88835389,2762,r
88835390,2886,r
88835411,2770,r
88835413,2656,r
88835417,2762,r
88835493,2762,r
88837897,2886,i
88837903,2770,i
88837905,2762,i
88837959,2886,i
88837970,2770,i
88837972,2762,i
88837982,2886,i
88838001,2762,i
88838003,2770,i
88838059,2656,i
88838064,2536,i
88838068,2544,i
88838114,2886,i
88838122,2762,i
88838124,2770,i
88838167,2656,i
88838169,2536,i
88838170,2544,i
88838233,2886,i
88838234,2770,i
88838236,2762,i
88838237,2656,i
88838238,2544,i
88838296,2426,i
88838299,2536,i
88838393,2762,i
88838394,2656,i
88838431,2886,i
88838435,2770,i
88838437,2544,i
88838456,2426,i
88838457,2536,i
88839013,2886,i
