decl,tau,umag,redshift,gmag,av,specname,zmag,lensid,rv,nimg,imgid,ra,extmodel,absimag,ymag,imag,rmag,sfinf,magnorm,fluxnorm,t_0
-7.511075,151.486807704,22.2709000522,1.07,22.1511235669,0.0,agn.spec,21.9294193203,4376,3.1,4,0,7.50342261427,CCM,-20.4444630429,21.7272420499,21.9345290414,21.9181625843,0.484422843555,22.2032238354,5.72291649474e-17,0.829
-7.495395,151.486807704,22.7047554217,1.07,22.5849789364,0.0,agn.spec,22.3632746898,4376,3.1,4,1,7.48528074137,CCM,-20.4444630429,22.1610974193,22.3683844108,22.3520179538,0.484422843555,22.6370792049,3.83773745935e-17,0.0
-7.499225,151.486807704,21.027777722,1.07,20.9080012367,0.0,agn.spec,20.6862969901,4376,3.1,4,2,7.51251036121,CCM,-20.4444630429,20.4841197197,20.6914067112,20.6750402541,0.484422843555,20.9601015052,1.79831737793e-16,0.733
-7.49351666667,151.486807704,21.3112869338,1.07,21.1915104485,0.0,agn.spec,20.9698062019,4376,3.1,4,3,7.51056202627,CCM,-20.4444630429,20.7676289314,20.974915923,20.9585494659,0.484422843555,21.243610717,1.38504108543e-16,0.741
-7.35885166667,132.564204024,22.9346184469,2.16,22.6817473109,0.0,agn.spec,22.2409851634,18060,3.1,2,0,7.50306014466,CCM,-21.6312084688,22.2746793766,22.4468792052,22.5676265117,0.355864838356,22.9883372311,2.77697551613e-17,0.0
-7.34281166667,132.564204024,21.9402974347,2.16,21.6874262987,0.0,agn.spec,21.2466641511,18060,3.1,2,1,7.49965382219,CCM,-21.6312084688,21.2803583644,21.452558193,21.5733054995,0.355864838356,21.9940162189,6.93905701013e-17,0.507
-7.19094333333,189.214639771,22.2275939268,1.19,22.1243918335,0.0,agn.spec,21.9141764375,21703,3.1,2,0,7.5205990967,CCM,-21.9737979461,21.7734436557,21.8639702914,21.8918234851,0.36253153413,22.2089337253,5.69289866138e-17,0.0
-7.20123833333,189.214639771,23.6372725156,1.19,23.5340704223,0.0,agn.spec,23.3238550262,21703,3.1,2,1,7.49665193282,CCM,-21.9737979461,23.1831222444,23.2736488802,23.3015020738,0.36253153413,23.618612314,1.55403937197e-17,7.601
-7.05087,155.899317407,21.9756246956,1.08,21.8523612077,0.0,agn.spec,21.635041188,25550,3.1,2,0,7.50501290042,CCM,-22.8424742537,21.4352457513,21.6320059248,21.6195875661,0.246813382132,21.9076693405,7.51344664911e-17,7.759
-7.04546666667,155.899317407,21.0983905396,1.08,20.9751270517,0.0,agn.spec,20.757807032,25550,3.1,2,1,7.47830766005,CCM,-22.8424742537,20.5580115953,20.7547717688,20.7423534101,0.246813382132,21.0304351845,1.68551596073e-16,0.0
-6.91310833333,165.947254428,25.2728044923,3.34,23.3580058047,0.0,agn.spec,22.7210037609,27496,3.1,4,0,7.49376819853,CCM,-22.5985456127,22.7221635113,22.7957894531,22.8855746362,0.387574662372,23.514385681,1.71061655515e-17,0.0
-6.90413166667,165.947254428,25.2577470825,3.34,23.3429483949,0.0,agn.spec,22.7059463511,27496,3.1,4,1,7.51051952264,CCM,-22.5985456127,22.7071061015,22.7807320433,22.8705172264,0.387574662372,23.4993282712,1.73450531383e-17,0.855
-6.89256666667,165.947254428,25.4453337852,3.34,23.5305350975,0.0,agn.spec,22.8935330537,27496,3.1,4,2,7.49161090734,CCM,-22.5985456127,22.8946928042,22.968318746,23.0581039291,0.387574662372,23.6869149739,1.4592878065e-17,0.994
-6.88869333333,165.947254428,24.9592587635,3.34,23.0444600758,0.0,agn.spec,22.407458032,27496,3.1,4,3,7.50699902488,CCM,-22.5985456127,22.4086177825,22.4822437243,22.5720289074,0.387574662372,23.2008399522,2.28334198478e-17,0.476
-6.75172333333,244.327364691,19.1279297277,1.89,18.9841897423,0.0,agn.spec,18.6318485625,28213,3.1,2,0,7.51450386752,CCM,-25.3735310999,18.6067636201,18.6760195149,18.9096872353,0.226791193793,19.2603968849,8.60494679076e-16,15.931
-6.73225666667,244.327364691,19.8915104118,1.89,19.7477704264,0.0,agn.spec,19.3954292466,28213,3.1,2,1,7.47044178261,CCM,-25.3735310999,19.3703443042,19.439600199,19.6732679194,0.226791193793,20.0239775691,4.25908115572e-16,0.0
