decl,tau,redshift,av,lensid,rv,nimg,imgid,ra,extmodel,absimag,sfinf,magnorm,g,i,r,u,sedname,fluxnorm,y,t_0,z
-7.511075,118.3553257,1.07,0.0,4376,3.1,4,0,7.50342261427,CCM,-20.4444630429,0.389967599282,22.2032238354,22.1511235669,21.9345290414,21.9181625843,22.2709000522,agn.spec,5.72291649474e-17,21.7272420499,0.829,21.9294193203
-7.495395,118.3553257,1.07,0.0,4376,3.1,4,1,7.48528074137,CCM,-20.4444630429,0.389967599282,22.6370792049,22.5849789364,22.3683844108,22.3520179538,22.7047554217,agn.spec,3.83773745935e-17,22.1610974193,0.0,22.3632746898
-7.499225,118.3553257,1.07,0.0,4376,3.1,4,2,7.51251036121,CCM,-20.4444630429,0.389967599282,20.9601015052,20.9080012367,20.6914067112,20.6750402541,21.027777722,agn.spec,1.79831737793e-16,20.4841197197,0.733,20.6862969901
-7.49351666667,118.3553257,1.07,0.0,4376,3.1,4,3,7.51056202627,CCM,-20.4444630429,0.389967599282,21.243610717,21.1915104485,20.974915923,20.9585494659,21.3112869338,agn.spec,1.38504108543e-16,20.7676289314,0.741,20.9698062019
-7.35885166667,139.687246902,2.16,0.0,18060,3.1,2,0,7.50306014466,CCM,-21.6312084688,0.451089505141,22.9883372311,22.6817473109,22.4468792052,22.5676265117,22.9346184469,agn.spec,2.77697551613e-17,22.2746793766,0.0,22.2409851634
-7.34281166667,139.687246902,2.16,0.0,18060,3.1,2,1,7.49965382219,CCM,-21.6312084688,0.451089505141,21.9940162189,21.6874262987,21.452558193,21.5733054995,21.9402974347,agn.spec,6.93905701013e-17,21.2803583644,0.507,21.2466641511
-7.19094333333,155.809306871,1.19,0.0,21703,3.1,2,0,7.5205990967,CCM,-21.9737979461,0.298771422444,22.2089337253,22.1243918335,21.8639702914,21.8918234851,22.2275939268,agn.spec,5.69289866138e-17,21.7734436557,0.0,21.9141764375
-7.20123833333,155.809306871,1.19,0.0,21703,3.1,2,1,7.49665193282,CCM,-21.9737979461,0.298771422444,23.618612314,23.5340704223,23.2736488802,23.3015020738,23.6372725156,agn.spec,1.55403937197e-17,23.1831222444,7.601,23.3238550262
-7.05087,169.534637023,1.08,0.0,25550,3.1,2,0,7.50501290042,CCM,-22.8424742537,0.323056568072,21.9076693405,21.8523612077,21.6320059248,21.6195875661,21.9756246956,agn.spec,7.51344664911e-17,21.4352457513,7.759,21.635041188
-7.04546666667,169.534637023,1.08,0.0,25550,3.1,2,1,7.47830766005,CCM,-22.8424742537,0.323056568072,21.0304351845,20.9751270517,20.7547717688,20.7423534101,21.0983905396,agn.spec,1.68551596073e-16,20.5580115953,0.0,20.757807032
