decl,ra_bulge,dec_bulge,g,redshift,ext_model_bulge,pa_bulge,fluxnorm_bulge,sedname_bulge,b_bulge,i,r,u,ra,a_bulge,y,z,rv_bulge,id,magnorm_bulge,av_bulge
-7.5,7.5,-7.5,15.7073658908,0.042,CCM,24.35965,2.74346512714e-14,Exp.50E09.1Z.spec,4.18851145897,14.7127419,15.0346578456,17.0635975722,7.5,5.22502207885,14.3483631004,14.5051238602,3.1,4376,15.5015187476,0.0
-7.35,7.5,-7.35,17.4880126814,0.068,CCM,80.36317,5.621377557e-15,Exp.50E09.1Z.spec,2.18677189771,16.4461555,16.7788450137,18.8494226882,7.5,2.27427262663,16.0836908523,16.2287415809,3.1,18060,17.2226604693,0.0
-7.2,7.5,-7.2,17.0399739288,0.072,CCM,131.0021,8.56576203749e-15,Exp.50E09.1Z.spec,2.33023108387,15.9914694,16.3253676895,18.4022507686,7.5,3.26544920539,15.6278901264,15.7713155141,3.1,21703,16.7653523448,0.0
-7.05,7.5,-7.05,17.092093546,0.076,CCM,-175.0828,8.23396911277e-15,Exp.50E09.1Z.spec,2.34085485888,16.0374012,16.3721920698,18.4553447241,7.5,3.16168782587,15.6722068069,15.8138110312,3.1,25550,16.8082442741,0.0
-6.9,7.5,-6.9,17.2453503272,0.078,CCM,150.4454,7.18061179344e-15,Exp.50E09.1Z.spec,2.25731038105,16.1879196,16.5227960362,18.6088801425,7.5,2.88104328827,15.8217050291,15.9623196533,3.1,27496,16.9568637379,0.0
-6.75,7.5,-6.75,16.4782738272,0.078,CCM,-137.5202,1.45543243124e-14,Exp.50E09.1Z.spec,2.75547943108,15.4208431,15.7557195362,17.8418036425,7.5,4.72546065839,15.0546285291,15.1952431533,3.1,28213,16.1897872379,0.0
-6.6,7.5,-6.6,17.2525490581,0.08,CCM,-32.41225,7.16472198906e-15,Exp.50E09.1Z.spec,2.28211391384,16.1920338,16.52703954,18.6163302183,7.5,2.85892308896,15.8255535667,15.9645935822,3.1,29765,16.9592689998,0.0
-6.45,7.5,-6.45,16.672732977,0.082,CCM,-16.27741,1.22757294759e-14,Exp.50E09.1Z.spec,2.88616631868,15.6089096,15.9443272022,18.0367618127,7.5,3.85860603881,15.2420360917,15.3798102472,3.1,32444,16.374649085,0.0
-6.3,7.5,-6.3,17.299856261,0.084,CCM,154.4568,6.92201958406e-15,Exp.50E09.1Z.spec,2.08108347156,16.2324791,16.5681440223,18.6637354833,7.5,3.064709717,15.8654053792,16.0017567177,3.1,34331,16.9966852987,0.0
-6.15,7.5,-6.15,17.0605745301,0.092,CCM,-117.4557,8.79449918927e-15,Exp.50E09.1Z.spec,2.40026802525,15.9787865,16.3152282023,18.4217713506,7.5,3.43745121012,15.6064119453,15.7407395778,3.1,45603,16.7367395749,0.0
-6.0,7.5,-6.0,17.3198140197,0.094,CCM,-4.930555,6.96020405613e-15,Exp.50E09.1Z.spec,1.97983145947,16.234293,16.570902696,18.6796787011,7.5,3.330212187,15.8604944203,15.9945566744,3.1,48085,16.9907124273,0.0
-5.85,7.5,-5.85,17.1386159197,0.094,CCM,-87.42812,8.22434295773e-15,Exp.50E09.1Z.spec,2.4611533488,16.0530949,16.389704596,18.4984806011,7.5,3.15632673756,15.6792963203,15.8133585744,3.1,48657,16.8095143273,0.0
