id,filename,fieldid,ra,dec,gizisid,appmag,filtid,parallax,mura,mudec,vrad,teff,logg,feh,d,filtstr,sed,fluxnorm,magnorm,umag,gmag,rmag,imag,zmag,ymag,gal_l,gal_b,ebv
0,easter.2293.13.txt,2293,320.839658,-7.662809,37,23.0,3,50.0,469.8,171.0,-55.0,1000,5.00,0.0,0.020,i,BD1000.dat,1.9056579484e-18,25.8971549814,27.1893915109,25.6809786208,25.1450448839,23.0,19.4948833168,17.9780141582,300.559503077,-37.8986136892,0.0
1,easter.2293.13.txt,2293,320.858324,-7.662805,41,25.0,0,50.0,-97.7,283.7,41.0,35000,9.00,0.0,0.020,u,bergeron_35000_90.dat_39000,2.79299189659e-18,25.4820931688,25.0,25.4083148491,25.8877066386,26.2648049465,26.5557685339,26.7852852458,300.307415976,-37.8573438296,0.0
2,easter.2293.13.txt,2293,320.876991,-7.662801,24,23.0,1,30.0,200.0,100.0,0.0,9999,5.00,0.0,0.033,g,PNastrom.dat,1.01355680255e-17,24.082647126,22.5953263087,23.0,23.4336021319,23.5399536588,23.6014976744,23.1320862964,300.056612436,-37.8118975676,0.0
3,easter.2293.13.txt,2293,320.895658,-7.662796,83,21.0,3,63.0,1500.0,200.0,-20.0,1500,5.00,0.0,0.016,i,BD1500.dat,3.24106856582e-18,25.320546811,28.2079490236,25.597672427,22.6227394485,21.0,19.4473859602,18.7434201237,299.807209584,-37.7623557276,0.0
4,easter.2293.13.txt,2293,320.914324,-7.662789,14,22.0,2,50.0,70.7,70.7,50.0,3750,7.50,0.0,0.020,r,bergeron_3750_75.dat_3950,3.59229634282e-17,22.7088369675,24.3038137514,22.8855182988,22.0,21.5771247892,21.3767567354,21.3128097265,299.559316911,-37.7088008246,0.0
5,easter.2293.13.txt,2293,320.802323,-7.644314,6,23.0,3,545.3,-755.1,9888.0,-111.0,555,4.83,0.0,0.002,i,BD555.dat,1.19010305749e-19,28.9083059306,27.3685787452,28.1599942733,25.3302352676,23.0,19.6294269504,17.0389436142,300.859145998,-39.0161282344,0.0
6,easter.2293.13.txt,2293,320.820989,-7.644312,78,23.0,4,255.3,560.5,-723.1,0.0,325,4.35,0.0,0.004,z,BD325.dat,5.09905929172e-21,32.328542203,30.9778178684,31.8940214046,27.4787155642,25.4526525049,23.0,20.6886937539,300.576640083,-38.9794683161,0.0
7,easter.2293.13.txt,2293,320.839655,-7.644309,93,23.0,2,100.0,150.0,-150.0,0.0,1500,5.00,0.0,0.010,i,BD1000e.dat,1.90384147871e-18,25.8981903967,27.1806658781,25.4303389298,24.1744474507,23.0,19.495918144,17.9790489261,300.295343516,-38.9381849396,0.0
8,easter.2293.13.txt,2293,320.858320,-7.644305,72,25.0,0,40.0,1956.4,-415.4,0.0,35000,9.00,0.0,0.025,u,bergeron_35000_90.dat_39000,2.79299189659e-18,25.4820931688,25.0,25.4083148491,25.8877066386,26.2648049465,26.5557685339,26.7852852458,300.015410793,-38.8923023975,0.0
9,easter.2293.13.txt,2293,320.876986,-7.644301,96,25.3,4,100.0,-98.0,75.0,-13.0,325,4.35,0.0,0.010,z,BD325.dat,6.13041763645e-22,34.628542203,33.2778178684,34.1940214046,29.7787155642,27.7526525049,25.3,22.9886937539,299.736967417,-38.841784125,0.0
10,easter.2293.13.txt,2293,320.895652,-7.644296,42,26.0,0,50.0,97.7,-283.7,42.0,35000,9.00,0.0,0.020,u,bergeron_35000_90.dat_39000,1.11191010133e-18,26.4820931688,26.0,26.4083148491,26.8877066386,27.2648049465,27.5557685339,27.7852852458,299.460150134,-38.7867150332,0.0
11,easter.2293.13.txt,2293,320.914318,-7.644290,26,22.0,2,25.0,30.0,-30.0,0.0,9999,5.00,0.0,0.040,r,RedE2astrom.dat,9.49252577467e-19,26.6538128953,26.9747092564,26.7027454074,22.0,25.8417943054,26.0561573735,25.9161616364,299.185093282,-38.7271237674,0.0
12,easter.2293.13.txt,2293,320.932983,-7.644283,10,20.5,3,10.0,-76.0,-62.0,-23.0,2000,5.00,0.0,0.010,i,BD2000.dat,1.85672405135e-18,25.9253989501,27.9569743869,25.9363702106,22.529087777,20.5,19.1520966389,18.3306095204,298.911943758,-38.6630447662,0.0
13,easter.2293.13.txt,2293,320.951649,-7.644275,3,24.0,3,18.5,-62.7,-22.8,54.0,1800,5.00,0.0,0.054,i,BD1800.dat,1.06768819374e-19,29.0261562569,31.4218065674,29.0293498944,25.5985853028,24.0,22.620064129,21.9100426746,298.64080249,-38.5945041639,0.0
