#Header as per the description in tests/validateCat.py.  The columns (if they
#exist) must be labeled with these names, although not necessarily in this order.  Columns that have
#no default listed must exist.  There are other caveats in settings.py
#id| ra| decl| umag| gmag| rmag| imag| zmag| ymag| specname| muRa| muDec| distance| doRed| varDictionary
0|210.000000|-30.000000|17.0000|17.0000|17.0000|17.0000|17.0000|17.0000|sed_flat_norm.txt.gz|0.|0.|10.0000|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.0000}
1|210.000000|-29.969697|17.0005|17.0005|17.0005|17.0005|17.0005|17.0005|sed_flat_norm.txt.gz|0.|0.|10.0090|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.0090}
2|210.000000|-29.939394|17.0010|17.0010|17.0010|17.0010|17.0010|17.0010|sed_flat_norm.txt.gz|0.|0.|10.0180|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.0180}
3|210.000000|-29.909091|17.0015|17.0015|17.0015|17.0015|17.0015|17.0015|sed_flat_norm.txt.gz|0.|0.|10.0270|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.0270}
4|210.000000|-29.878788|17.0020|17.0020|17.0020|17.0020|17.0020|17.0020|sed_flat_norm.txt.gz|0.|0.|10.0360|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.0360}
5|210.000000|-29.848485|17.0025|17.0025|17.0025|17.0025|17.0025|17.0025|sed_flat_norm.txt.gz|0.|0.|10.0450|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.0450}
6|210.000000|-29.818182|17.0030|17.0030|17.0030|17.0030|17.0030|17.0030|sed_flat_norm.txt.gz|0.|0.|10.0540|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.0540}
7|210.000000|-29.787879|17.0035|17.0035|17.0035|17.0035|17.0035|17.0035|sed_flat_norm.txt.gz|0.|0.|10.0630|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.0630}
8|210.000000|-29.757576|17.0040|17.0040|17.0040|17.0040|17.0040|17.0040|sed_flat_norm.txt.gz|0.|0.|10.0720|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.0720}
9|210.000000|-29.727273|17.0045|17.0045|17.0045|17.0045|17.0045|17.0045|sed_flat_norm.txt.gz|0.|0.|10.0810|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.0810}
10|210.000000|-29.696970|17.0050|17.0050|17.0050|17.0050|17.0050|17.0050|sed_flat_norm.txt.gz|0.|0.|10.0900|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.0900}
11|210.000000|-29.666667|17.0055|17.0055|17.0055|17.0055|17.0055|17.0055|sed_flat_norm.txt.gz|0.|0.|10.0990|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.0990}
12|210.000000|-29.636364|17.0060|17.0060|17.0060|17.0060|17.0060|17.0060|sed_flat_norm.txt.gz|0.|0.|10.1080|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.1080}
13|210.000000|-29.606061|17.0065|17.0065|17.0065|17.0065|17.0065|17.0065|sed_flat_norm.txt.gz|0.|0.|10.1170|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.1170}
14|210.000000|-29.575758|17.0070|17.0070|17.0070|17.0070|17.0070|17.0070|sed_flat_norm.txt.gz|0.|0.|10.1260|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.1260}
15|210.000000|-29.545455|17.0075|17.0075|17.0075|17.0075|17.0075|17.0075|sed_flat_norm.txt.gz|0.|0.|10.1350|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.1350}
16|210.000000|-29.515152|17.0080|17.0080|17.0080|17.0080|17.0080|17.0080|sed_flat_norm.txt.gz|0.|0.|10.1440|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.1440}
17|210.000000|-29.484848|17.0085|17.0085|17.0085|17.0085|17.0085|17.0085|sed_flat_norm.txt.gz|0.|0.|10.1530|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.1530}
18|210.000000|-29.454545|17.0090|17.0090|17.0090|17.0090|17.0090|17.0090|sed_flat_norm.txt.gz|0.|0.|10.1620|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.1620}
