#The following SEDs are for the blue horizontal branch stars in the catalog
#These are Kurucz models
#sedfilename,number
km01_7250.fits_g40_7430,1
km01_7500.fits_g40_7640,1
km01_7500.fits_g40_7740,1
km01_7750.fits_g40_7870,1
km02_7500.fits_g40_7600,1
km03_9500.fits_g45_9580,1
kp01_7250.fits_g40_7410,1
kp01_7500.fits_g40_7520,1
kp01_7750.fits_g40_7770,1
kp01_7750.fits_g40_7850,1
kp01_7750.fits_g40_7890,1
kp01_7750.fits_g40_7950,2
kp01_8000.fits_g40_8020,1
kp01_8000.fits_g40_8040,1
kp01_8000.fits_g40_8060,1
kp01_9750.fits_g45_9830,1
kp02_7750.fits_g40_7850,1
kp02_7750.fits_g40_7870,1
kp02_7750.fits_g40_7930,1
kp02_8000.fits_g35_8200,1
kp02_8000.fits_g40_8060,1
kp02_8000.fits_g40_8100,1
kp03_8000.fits_g40_8080,1
kp03_8000.fits_g40_8180,1
kp03_8250.fits_g35_8310,1
kp05_8000.fits_g40_8200,1
kp05_8000.fits_g40_8220,1
kp05_8000.fits_g40_8240,1
kp05_8250.fits_g35_8390,3
kp05_8250.fits_g40_8290,1
kp05_8250.fits_g40_8310,2
kp05_8250.fits_g40_8330,1
kp05_8250.fits_g40_8350,3
kp05_8250.fits_g40_8390,1
kp05_9000.fits_g40_9000,1
kp10_8250.fits_g35_8490,1
kp10_8500.fits_g35_8500,1
kp10_8500.fits_g35_8520,1
kp10_8500.fits_g35_8560,1
kp10_8500.fits_g35_8580,4
kp10_8500.fits_g35_8600,7
kp10_8500.fits_g35_8620,2
kp10_8500.fits_g35_8640,5
kp10_8500.fits_g35_8660,5
kp10_8500.fits_g35_8700,5
kp10_8500.fits_g35_8720,6
kp10_8500.fits_g35_8740,2
kp10_8750.fits_g35_8750,4
kp10_8750.fits_g35_8770,5
kp10_8750.fits_g35_8790,4
kp10_8750.fits_g35_8810,6
kp10_8750.fits_g35_8830,5
kp10_8750.fits_g35_8850,3
kp10_8750.fits_g35_8870,3
kp10_8750.fits_g35_8890,1
kp10_8750.fits_g35_8910,2
kp10_8750.fits_g35_8930,1
kp10_8750.fits_g35_8950,3
kp10_8750.fits_g35_8970,3
kp10_8750.fits_g35_8990,4
kp10_9000.fits_g35_9000,4
kp10_9000.fits_g40_9080,1
kp10_9000.fits_g40_9120,3
kp10_9000.fits_g40_9140,1
kp10_9000.fits_g40_9160,3
kp10_9000.fits_g40_9180,2
kp10_9000.fits_g40_9200,1
kp10_9000.fits_g40_9220,3
kp10_9250.fits_g40_9250,2
kp10_9250.fits_g40_9270,1
kp10_9250.fits_g40_9290,1
kp10_9250.fits_g40_9310,1
kp10_9250.fits_g40_9330,1
kp10_9250.fits_g40_9350,3
kp10_9250.fits_g40_9370,1
kp10_9250.fits_g40_9390,1
#The following SEDs are for the white dwarf stars in the catalog
#These are bergeron models
#sedfilename,number
bergeron_10000_75.dat_10200,23
bergeron_10000_75.dat_10100,19
bergeron_10000_75.dat_10300,30
bergeron_10000_80.dat_10100,184
bergeron_10000_75.dat_10000,18
bergeron_10000_80.dat_10300,237
bergeron_10000_75.dat_10400,19
bergeron_10500_80.dat_10600,214
bergeron_10000_85.dat_10000,30
bergeron_10000_85.dat_10100,28
bergeron_10500_75.dat_10900,12
bergeron_10500_85.dat_11000,51
bergeron_11500_75.dat_12000,3
bergeron_10000_80.dat_10200,217
bergeron_11000_80.dat_11100,172
bergeron_10000_85.dat_10200,41
bergeron_10500_75.dat_10600,10
bergeron_11500_75.dat_11800,7
bergeron_10500_75.dat_10800,13
bergeron_11000_80.dat_11500,169
bergeron_10000_85.dat_10300,39
bergeron_11000_75.dat_11300,9
bergeron_12000_75.dat_12200,2
bergeron_11500_80.dat_11700,142
bergeron_10500_80.dat_10700,210
bergeron_10000_80.dat_10500,257
bergeron_11000_85.dat_11300,24
bergeron_11500_75.dat_11600,3
bergeron_10000_85.dat_10400,28
bergeron_11000_80.dat_11300,173
bergeron_10500_80.dat_10900,218
bergeron_12500_75.dat_12800,4
bergeron_11500_85.dat_11800,27
bergeron_10500_85.dat_10700,36
bergeron_10500_75.dat_10500,5
bergeron_11500_75.dat_11900,4
bergeron_12000_85.dat_12100,38
bergeron_10500_85.dat_10800,46
bergeron_10000_80.dat_10400,213
bergeron_11000_75.dat_11000,9
bergeron_11500_85.dat_11700,39
bergeron_12000_75.dat_12300,8
bergeron_11500_75.dat_11500,3
bergeron_12000_80.dat_12400,97
bergeron_11000_85.dat_11400,33
bergeron_12000_75.dat_12500,3
bergeron_10500_75.dat_10700,13
bergeron_10500_85.dat_10900,50
bergeron_10500_85.dat_10500,53
bergeron_11500_85.dat_11600,39
bergeron_12500_80.dat_12800,110
bergeron_10500_80.dat_10800,222
bergeron_11000_80.dat_11000,218
bergeron_11500_85.dat_11900,28
bergeron_11500_80.dat_11800,128
bergeron_11000_75.dat_11400,6
bergeron_11000_80.dat_11400,154
bergeron_11500_85.dat_12000,25
bergeron_11500_75.dat_11700,3
bergeron_11000_75.dat_11100,8
bergeron_12000_85.dat_12200,24
bergeron_11500_80.dat_11900,135
bergeron_12500_85.dat_13000,15
bergeron_12500_80.dat_13000,53
bergeron_12500_85.dat_12700,19
bergeron_10500_85.dat_10600,36
bergeron_13000_75.dat_13100,5
bergeron_11000_85.dat_11100,37
bergeron_12500_80.dat_12500,74
bergeron_11000_75.dat_11200,11
bergeron_13500_80.dat_13900,81
bergeron_13000_75.dat_13500,6
bergeron_13000_75.dat_13200,6
bergeron_11000_80.dat_11200,168
bergeron_13000_75.dat_13400,4
bergeron_13500_75.dat_13700,8
bergeron_13000_80.dat_13300,72
bergeron_13500_80.dat_14000,75
bergeron_13500_80.dat_13600,84
bergeron_13000_80.dat_13400,71
bergeron_11000_85.dat_11500,44
bergeron_11500_80.dat_11600,156
bergeron_13500_75.dat_13800,8
bergeron_12500_80.dat_12900,73
bergeron_12000_75.dat_12100,3
bergeron_12500_75.dat_12600,3
bergeron_12500_80.dat_12700,101
bergeron_13500_75.dat_13600,4
bergeron_11000_85.dat_11200,24
bergeron_13000_75.dat_13300,5
bergeron_14000_75.dat_14100,4
bergeron_14000_80.dat_14100,84
bergeron_14000_80.dat_14200,83
bergeron_12000_80.dat_12300,88
bergeron_12000_75.dat_12400,7
bergeron_12000_80.dat_12200,92
bergeron_13500_85.dat_13900,18
bergeron_12000_85.dat_12300,28
bergeron_14000_75.dat_14400,9
bergeron_14500_75.dat_14900,12
bergeron_12500_75.dat_12900,7
bergeron_14500_80.dat_14900,58
bergeron_14500_85.dat_14800,11
bergeron_13500_85.dat_13700,12
bergeron_12500_75.dat_13000,4
bergeron_12000_80.dat_12100,109
bergeron_12500_85.dat_12900,18
bergeron_14500_80.dat_15000,54
bergeron_14500_85.dat_14600,8
bergeron_15000_75.dat_15500,8
bergeron_12000_80.dat_12000,130
bergeron_12500_85.dat_12800,17
bergeron_12000_85.dat_12400,15
bergeron_12500_75.dat_12700,3
bergeron_12500_85.dat_12600,14
bergeron_15000_80.dat_15100,61
bergeron_15000_80.dat_15300,60
bergeron_13500_80.dat_13700,95
bergeron_13000_85.dat_13300,18
bergeron_13000_85.dat_13200,23
bergeron_12000_85.dat_12500,33
bergeron_15500_80.dat_15900,60
bergeron_13500_80.dat_13800,94
bergeron_14000_75.dat_14200,13
bergeron_14000_75.dat_14500,9
bergeron_14500_75.dat_14700,9
bergeron_15500_75.dat_15600,7
bergeron_14000_85.dat_14100,20
bergeron_15500_75.dat_16000,7
bergeron_14500_85.dat_15000,12
bergeron_15000_75.dat_15400,5
bergeron_15000_85.dat_15300,7
bergeron_15000_80.dat_15200,65
bergeron_15500_80.dat_15800,53
bergeron_14000_85.dat_14500,16
bergeron_15000_80.dat_15500,49
bergeron_13500_75.dat_13900,8
bergeron_15500_85.dat_15600,6
bergeron_13000_85.dat_13100,25
bergeron_15500_85.dat_15900,10
bergeron_14000_80.dat_14400,79
bergeron_16000_85.dat_16400,5
bergeron_13000_80.dat_13100,94
bergeron_15500_85.dat_15800,11
bergeron_14500_80.dat_14700,77
bergeron_15000_80.dat_15400,70
bergeron_15500_75.dat_15700,9
bergeron_16000_75.dat_16500,5
bergeron_13500_85.dat_14000,26
bergeron_15000_85.dat_15200,12
bergeron_14000_85.dat_14200,18
bergeron_13500_85.dat_13600,14
bergeron_12500_80.dat_12600,85
bergeron_15000_75.dat_15300,12
bergeron_14000_85.dat_14300,13
bergeron_14000_85.dat_14400,11
bergeron_16500_80.dat_16600,41
bergeron_15000_85.dat_15100,11
bergeron_16000_75.dat_16300,14
bergeron_16500_85.dat_16500,6
bergeron_15000_75.dat_15000,7
bergeron_16000_75.dat_16400,9
bergeron_15500_75.dat_15900,8
bergeron_13000_85.dat_13400,18
bergeron_14500_80.dat_14600,78
bergeron_15000_85.dat_15400,19
bergeron_15000_85.dat_15500,12
bergeron_14500_80.dat_14500,74
bergeron_16000_80.dat_16400,46
bergeron_15000_75.dat_15200,11
bergeron_15500_80.dat_15600,57
bergeron_16000_75.dat_16100,15
bergeron_16000_80.dat_16300,41
bergeron_14500_75.dat_14800,9
bergeron_16500_75.dat_16800,5
bergeron_16500_80.dat_16900,49
bergeron_15500_80.dat_16000,44
bergeron_16000_75.dat_16200,4
bergeron_13000_80.dat_13200,119
bergeron_16000_85.dat_16100,12
bergeron_16500_75.dat_16600,11
bergeron_13500_85.dat_13800,20
bergeron_16500_80.dat_16700,42
bergeron_16500_80.dat_16800,50
bergeron_16500_85.dat_16700,12
bergeron_17000_80.dat_18200,200
bergeron_17000_75.dat_19400,38
bergeron_14500_75.dat_14600,8
bergeron_14000_80.dat_14300,81
bergeron_20000_75.dat_22000,64
bergeron_17000_80.dat_17600,241
bergeron_17000_75.dat_17600,48
bergeron_16000_85.dat_16200,14
bergeron_16000_80.dat_16200,61
bergeron_15000_75.dat_15100,8
bergeron_16000_85.dat_16300,6
bergeron_16500_75.dat_16900,13
bergeron_14500_85.dat_14700,19
bergeron_14500_80.dat_14800,73
bergeron_20000_80.dat_21000,179
bergeron_16000_80.dat_16100,54
bergeron_13000_80.dat_13500,69
bergeron_16500_75.dat_16700,9
bergeron_17000_75.dat_18200,42
bergeron_20000_80.dat_20000,174
bergeron_16500_85.dat_16600,8
bergeron_13500_75.dat_14000,4
bergeron_14500_85.dat_14900,11
bergeron_20000_80.dat_23000,150
bergeron_2250_75.dat_2350,1
bergeron_20000_85.dat_22000,21
bergeron_16000_80.dat_16500,61
bergeron_17000_70.dat_18800,1
bergeron_15500_75.dat_15800,3
bergeron_17000_85.dat_18800,16
bergeron_20000_80.dat_22000,144
bergeron_20000_85.dat_23000,11
bergeron_2500_75.dat_2550,2
bergeron_17000_75.dat_20000,49
bergeron_17000_80.dat_19400,150
bergeron_20000_85.dat_24000,16
