#SourceID Photons AvgX AvgY
248743321 9689 1879.766333 4416.611621
246811311 54 2095.407407 4064.092593
249026335 3133 1908.910310 4431.519630
246812330 39 2152.692308 4098.846154
246813252 13 2224.230769 4030.461538
248743591 14614 2027.017928 4434.257767
246815545 1038 2400.682081 3830.580925
246813491 31 2208.709677 4201.161290
246813031 1138 2166.068541 4277.571178
246815435 52 2375.769231 3933.903846
246820332 20 2771.900000 3400.300000
246817450 20 2518.050000 3845.700000
246820712 18 2796.333333 3399.500000
246822270 34 2921.558824 3214.382353
246818781 36 2623.416667 3712.222222
246818878 14 2628.142857 3720.000000
246816551 36 2423.555556 4065.638889
246820434 92 2755.065217 3517.195652
246818917 5347 2627.666168 3738.246680
246818482 6 2586.166667 3823.666667
246818208 23 2555.478261 3892.521739
246816419 2416 2390.105546 4187.823675
246823424 20 2996.150000 3191.000000
246814987 41 2262.926829 4421.365854
249026776 46227 2786.917559 3549.010340
246822947 93 2949.053763 3295.451613
246822785 17 2932.352941 3331.176471
246815524 44 2287.409091 4465.409091
246824212 2821 3039.180432 3243.728820
246816897 12 2401.833333 4302.833333
246824757 501 3084.854291 3168.011976
246817760 64 2462.437500 4263.625000
246822401 110582 2858.585394 3608.292760
246817027 11 2391.636364 4414.181818
246821891 70198 2805.952805 3737.918830
246824575 55 3041.981818 3354.545455
246824684 27 3044.037037 3377.888889
246819076 560 2556.555357 4197.971429
246827592 34 3303.441176 2964.764706
248745323 4719 3259.959525 3055.983683
246826485 12 3192.083333 3183.333333
246822033 7 2797.142857 3852.142857
246823637 418 2930.516746 3640.734450
248744879 4014 2899.491779 3690.869955
246819387 1427 2560.035039 4287.742116
246819731 62 2574.790323 4320.145161
248744517 13527 2562.250462 4431.956975
246829084 15943 3368.457379 3114.573606
246830192 60 3466.233333 2957.083333
246826586 26 3139.153846 3513.884615
246825474 386 3041.183938 3680.246114
249027022 3525 3189.289929 3433.762837
248744694 11553 2682.191812 4288.136415
246828800 53 3327.132075 3253.283019
246825032 616 2987.366883 3818.392857
246830966 9 3509.555556 2973.666667
246821567 463 2675.904968 4357.784017
248745011 592 2938.778716 3933.280405
246830717 339 3483.926254 3031.507375
246831283 155 3524.341935 2993.296774
246822547 143 2750.678322 4279.615385
246821704 30 2676.000000 4424.000000
246826759 72 3118.097222 3698.041667
246824417 1050 1910.488571 2666.919048
246823634 15 2834.933333 4181.533333
246832545 105 3620.752381 2887.914286
246828670 1014 3285.035503 3446.593688
246825784 40090 3013.551359 3937.126316
246827083 114 3131.131579 3743.342105
246829847 15 3376.733333 3344.000000
246824918 7 2928.714286 4128.000000
246824896 99 2921.797980 4144.868687
246823778 234 2817.632479 4333.311966
246831142 29 3471.034483 3248.931034
246825165 1994 2938.021063 4140.462889
248745888 67 3556.731343 3113.059701
246830416 28 3402.357143 3376.642857
246825655 130 2980.315385 4081.615385
246823963 96 2826.791667 4342.322917
246832314 1118 3562.587657 3130.716458
246829757 18 3344.333333 3498.222222
246831254 11 3465.727273 3309.909091
246830841 11 3428.181818 3395.272727
246828922 14 3253.714286 3697.857143
246831523 101 3468.316832 3404.514851
246834680 103 3744.223301 2954.621359
246830912 2258 3410.901683 3512.254207
248745229 3830 3006.183290 4185.745170
246836103 8 3868.250000 2767.875000
246829840 15 3313.066667 3699.333333
246833898 387 3657.617571 3124.971576
246828165 1157 3155.048401 3995.821953
246829806 3991 3293.195941 3790.604109
246830572 13 3350.769231 3715.692308
246833765 53 3628.754717 3268.245283
246827129 34 3027.970588 4329.676471
246830703 307 3341.263844 3835.517915
246826413 394 2960.309645 4472.459391
246828602 18 3151.500000 4180.944444
246828801 134 3165.149254 4170.223881
248746123 329 3642.592705 3434.218845
246832135 7 3444.857143 3733.142857
246839031 29 4059.379310 2733.137931
248746191 57134 3696.930952 3344.147215
246837541 34 3920.588235 2980.676471
246838775 12 4026.416667 2825.500000
246837761 47 3932.872340 2989.872340
246830690 15 3303.000000 4052.466667
246836606 16 3820.437500 3201.437500
249027077 27910 3082.838982 4414.607309
246832208 2582 3419.056545 3903.704493
246840328 19195 4140.260328 2712.185465
246830567 6926 3275.534219 4149.594716
246829305 9 3162.777778 4350.111111
246831543 36 3354.444444 4031.083333
246834585 600 3620.810000 3603.668333
246829122 9 3138.888889 4417.555556
246839608 59 4064.593220 2891.576271
246837033 40 3835.125000 3278.025000
248746109 334 3574.988024 3708.589820
246834500 14 3607.285714 3664.857143
246839581 20 4051.150000 2952.250000
246831648 31 3341.774194 4146.483871
246831843 200 3356.590000 4125.880000
246831496 10 3322.400000 4206.200000
248745801 553 3315.667269 4219.303797
246832538 167 3409.191617 4073.610778
246835963 3012 3718.102922 3561.461155
246834750 3929 3606.499364 3747.926953
246831801 28 3342.178571 4195.071429
246832668 4176 571.384100 680.984195
246833825 301 3513.720930 3928.617940
249027550 1488 4175.123656 2834.879032
246836301 72 3735.361111 3579.833333
248746796 105 4074.476190 3025.276190
246836331 33 3732.939394 3595.121212
246835002 9 3613.777778 3795.444444
246832481 81 3380.913580 4191.925926
246838740 185 3941.183784 3293.043243
246842294 23 4241.391304 2828.826087
246843558 14104 4349.555020 2663.240925
246835690 1450 3546.564828 3710.553793
246839562 127 3427.700787 2801.188976
246841981 104 4208.596154 2919.500000
246834673 27 3555.259259 4002.518519
246841004 526 4111.313688 3103.142586
246844106 29 4386.896552 2661.206897
246832541 10 3353.200000 4397.400000
246838587 19 3894.157895 3509.947368
246837362 12 3768.250000 3769.750000
246843496 287 4307.229965 2879.101045
246835892 18 3636.666667 3998.166667
246839469 8 3952.500000 3478.500000
246839021 98 3916.091837 3547.744898
246834672 250 3517.516000 4218.400000
246842112 83 4179.084337 3125.650602
248746337 662 3640.758308 4029.583082
246833551 470 3411.378723 4420.521277
246844584 193 4391.336788 2796.274611
246841940 49 4150.918367 3223.795918
246841178 1820 4074.656044 3372.230769
248746491 18 3756.222222 3931.222222
246836638 243 3668.090535 4076.065844
246842088 533 4135.401501 3362.467167
246845049 69 4394.985507 2934.057971
246838747 10 3840.500000 3862.400000
246841338 15 4061.333333 3497.066667
246840479 25 3984.560000 3637.200000
246841277 123 4050.292683 3544.447154
246844996 21 4381.619048 3003.952381
248746275 31 3538.806452 4422.838710
246841559 541 4066.731978 3554.493530
246839429 197 3878.969543 3872.324873
246842156 14 4113.571429 3515.571429
246835792 20007 3546.621083 4463.382916
246838424 14 3775.500000 4118.071429
246843941 3 4256.000000 3322.333333
